cerveja;cervejaria;estilo;abv;ibu;ratings;media;descricao_estilo;descricao_cerveja;figura 
Hop Weiss;Bodebrown;Trigo / Weissbier;5.5;0;3.775;3.74;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;"Cerveja de Trigo com Dry Hopping (adição de lúpulo no final da maturação)
de Amarillo (Lúpulo cítrico americano, sazonalmente com Nelson Sauvin).";weiss_hop_weiss.jpeg
Amarillo Weiss;Mestre-Cervejeiro;Trigo / Weissbier;5.6;25;393;3.72;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;Esta cerveja nasceu para unir a tradição das Weizenbier, um dos estilos mais conhecidos da escola alemã, com sabores cítricos de um dos lúpulos mais icônicos, o Amarillo. Conheça a Mestre-Cervejeiro.com Amarillo Weisse, uma Cerveja de Trigo temperada com lúpulo Amarillo. Feita em parceria com a cervejaria Bier Hoff. Zum Wohl!;weiss_amarillo.jpeg
Weizen;Cerveja Coruja;Trigo / Weissbier;5.5;18;6.048;3.66;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;Complexa e frutada, com aromas de cravo, picante e leve toque defumado. Típica refrescância do trigo e do fermento de weizenbier, turva e atraente. Formação de espuma densa e cremosa, com boa retenção. Amargor acima da média das weizen, bastante seca. ;weiss_coruja.jpeg
Weiss;Baden Baden;Trigo / Weissbier;5.2;9;12439;3.66;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;Cerveja de trigo de alta fermentação, baixo amargor e notas aromáticas de cravo e banana. Cerveja muito refrescante, que apresenta visual turvo pelo fato de não ser filtrada. Segue a lei da pureza.;weiss_baden_baden.jpeg
Weissbier Archer;Cervejaria Leuven;Trigo / Weissbier;5.3;12;599;3.64;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;Das tradicionais cortes Bávaras para o Reino Leuven, apresentamos nossa WeissBier, uma receita clássica alemã e extremamente elegante. O malte de trigo e a levedura especifica desta receita são certeiros para entregar aromas frutados e leve cravo em uma cerveja de cor dourada e creme abundante! Refrescancia e Drinkability de um estilo datado de 800 d.C. que se mantem sempre atual. Mantenha sempre uma próxima de seu clã e a vitória será certa!;weiss_weissbier_archer.jpeg
Carrier Summer Juicy;Tesla Cervejaria;Blonde Ale;4.8;16;435;3.85;De produção relativamente recente, a Belgian Blond Ale é destinada como alternativa aos consumidores de Pils europeias. Trata-se então de uma Ale dourada, de intensidade moderada, que tem uma complexidade sutil frutada-picante, com um pouco de sabor de malte doce e um final seco. Esse estilo apresenta cervejas complexas, perfumadas, cremosas com presença de malte, lúpulo e álcool em equilíbrio.;Essa é nossa *New England Blonde* ou *Hazy Blonde* de corpo leve e aveludado, baixo amargor e um incrível aroma de frutas cítricas, trazidos pelos lúpulos Citra e Mosaic, com Duplo Dry Hopping. Uma cerveja de verão, mas que te autorizamos a beber em qualquer estação do ano.;blond_carrier_summer.jpeg
Hop Arábica;Marada Cia Etilica;Blonde Ale;5;10;5629;3.83;De produção relativamente recente, a Belgian Blond Ale é destinada como alternativa aos consumidores de Pils europeias. Trata-se então de uma Ale dourada, de intensidade moderada, que tem uma complexidade sutil frutada-picante, com um pouco de sabor de malte doce e um final seco. Esse estilo apresenta cervejas complexas, perfumadas, cremosas com presença de malte, lúpulo e álcool em equilíbrio.;"Seria este o café mais lupuladamente refrescante? Ou a cerveja mais cafeinadamente aromática? Essa é uma cerveja colaborativa, produzida entre o Lucca Cafés Especiais e a Morada Cia. Etílica, e une as duas bebidas mais consumidas e amadas dos brasileiros: a cerveja (""hop"", lúpulo em inglês) e o café (Arabica, parte do nome científico da planta).";blond_hop_arabica.jpeg
Tiramisù Ale;Derveja Dalaje;Blonde Ale;4.5;14;401;3.82;De produção relativamente recente, a Belgian Blond Ale é destinada como alternativa aos consumidores de Pils europeias. Trata-se então de uma Ale dourada, de intensidade moderada, que tem uma complexidade sutil frutada-picante, com um pouco de sabor de malte doce e um final seco. Esse estilo apresenta cervejas complexas, perfumadas, cremosas com presença de malte, lúpulo e álcool em equilíbrio.;Em comemoração ao 1 ano de sucesso D’alaje, temos o prazer de apresentar a Tiramisù Ale. Uma cerveja com ingredientes complexos mas fácil de beber. Em parceria com o Café Danza, selecionamos os melhores grãos de café, combinados com nibs de cacau, baunilha e lactose dando a sensação de “beber” a tradicional sobremesa italiana.;blond_tiramissu_ale.jpeg
Orange Sunshine;Hocus Pocus;Blonde Ale;5;18;3340;3.8;De produção relativamente recente, a Belgian Blond Ale é destinada como alternativa aos consumidores de Pils europeias. Trata-se então de uma Ale dourada, de intensidade moderada, que tem uma complexidade sutil frutada-picante, com um pouco de sabor de malte doce e um final seco. Esse estilo apresenta cervejas complexas, perfumadas, cremosas com presença de malte, lúpulo e álcool em equilíbrio.;A Orange Sunshine é uma American Blonde Ale com laranja. É a cerveja mais leve que já criamos, bem fácil de beber mas aromática e com uma personalidade de cerveja extrema. A refrescância cítrica dos lúpulos e da laranja se equilibram para que cada gota só transmita sentimentos leves, e o teor alcoólico baixo de 5% permite que cada pessoa possa aproveitar milhares dessas gotas sem maiores preocupações.;blonde_orange_sunshine.jpeg
Confort Hoppy Blond;Quatro Graus;Blonde Ale;8.3;0;187;3.79;De produção relativamente recente, a Belgian Blond Ale é destinada como alternativa aos consumidores de Pils europeias. Trata-se então de uma Ale dourada, de intensidade moderada, que tem uma complexidade sutil frutada-picante, com um pouco de sabor de malte doce e um final seco. Esse estilo apresenta cervejas complexas, perfumadas, cremosas com presença de malte, lúpulo e álcool em equilíbrio. Diferente das Fruit Lambics, que são cervejas de fermentação espontânea com adição de frutas, as cervejas Fruit Beer são, no entanto, receitas normais com adição de frutas. Sua criação parte então de um estilo base ao qual se acrescenta uma fruta, que lhe confere aroma e sabor com o objetivo de obter cervejas diferentes. Aqui a fruta não deve se sobrepor ao estilo original da cerveja, mas sim enriquecê-lo.;Na aparência, intensidade e lupulagem, a Comfort hoppy blonde pode lembrar uma New England Double IPA. Porém, a presença de uma esterificação mais marcante, pouco comum em IPAs e bastante presente em cervejas da Escola Belga, entra para somar ainda mais complexidade ao conjunto. Um toque final de limão siciliano completa a experiência e a personalidade dessa receita;blonde_confort_hoppy.jpeg
American Pale Ale;Cervejaria Dogma;American Pale Ale;5.8;0;734;3.99;As American Pale Ale são cervejas claras, que vão desde o amarelo dourado até à cor de cobre. O estilo desta cerveja é definido pelo lúpulo de origem americana que nela é usado, transmitindo este, em geral, um forte aroma à cerveja bem como uma relativa acidez.;American Pale Ale é uma representante clássica do estilo. Seca e de amargor médio apresenta aromas cítricos, resinosos e frutados devido ao dry-hop com o lúpulo Mosaic.;apa_dogma.jpeg
APA Cadabra;Hocus Pocus;American Pale Ale;5.2;40;6499;3.88;As American Pale Ale são cervejas claras, que vão desde o amarelo dourado até à cor de cobre. O estilo desta cerveja é definido pelo lúpulo de origem americana que nela é usado, transmitindo este, em geral, um forte aroma à cerveja bem como uma relativa acidez.;É uma American Pale Ale feita para confundir quem espera que cervejas leves tenham pouco aroma e sabor. Com 5.2% ABV, drinkability altíssima, e aroma fortemente cítrico e resinoso que normalmente só se encontra em Imperial IPAs extremamente lupuladas, ela faz com que seja possível ter a experiência de mergulhar em lúpulos por muito mais goles.;apa_apa_cadabra.jpeg
Orvalho;Cervejaria Tupiniquim;American Pale Ale;5.6;40;2226;3.83;As American Pale Ale são cervejas claras, que vão desde o amarelo dourado até à cor de cobre. O estilo desta cerveja é definido pelo lúpulo de origem americana que nela é usado, transmitindo este, em geral, um forte aroma à cerveja bem como uma relativa acidez.;A cerveja artesanal Tupiniquim Orvalho é uma APA com amargor evidente, saborosa e bastante aromática. É feita com uma seleção de 3 diferentes lúpulos americanos e tem uma carga considerável de malte para fazer desta uma cerveja marcante, porém balanceada.;apa_orvalho.jpeg
San Diego;Cervejas Barco;American Pale Ale;5.4;36;6726;3.76;As American Pale Ale são cervejas claras, que vão desde o amarelo dourado até à cor de cobre. O estilo desta cerveja é definido pelo lúpulo de origem americana que nela é usado, transmitindo este, em geral, um forte aroma à cerveja bem como uma relativa acidez.;A San Diego é uma American Pale Ale inspirada na vertente West Coast de fazer cerveja. Apenas um lúpulo é utilizado - tanto no processo quente quanto no dry hopping – o Citra, que confere à cerveja intensas notas cítricas (maracujá, grapefruit e lima) no aroma e no sabor. O amargor é moderado e de rápida finalização. Fiel ao estilo, a San Diego é refrescante, cítrica, equilibrada e de elevado drinkability.;apa_san_diego.jpeg
Roleta Russa American Pale Ale;Cervejaria Imigração;American Pale Ale;5;36;5719;3.73;As American Pale Ale são cervejas claras, que vão desde o amarelo dourado até à cor de cobre. O estilo desta cerveja é definido pelo lúpulo de origem americana que nela é usado, transmitindo este, em geral, um forte aroma à cerveja bem como uma relativa acidez.;"Inflem as velas, recolham a âncora e descubram novos sabores. Um misterioso navio inglês, com destino a Índia, se perdeu nos temidos mares do sul e acabou sendo atacado por piratas
Americanos! Os piratas nem imaginavam, mas nesse navio haviam saborosas cervejas do estilo Pale Ale. Fascinados por essa novidade, incorporaram extrema carga de lúpulo na sua American Pale Ale, uma cerveja que era mais leve, fazendo dela agora o seu tesouro. As cervejas ganharam um Duplo Dry Hopping, ousado como todo pirata!";apa_roleta_russa.jpeg
Holy Cow #2;Seasons Craft Brewery;India Pale Ale;7.5;85;4635;4.16;India Pale Ale ou simplesmente IPA. Uma cerveja do século XVIII, fabricada especialmente para os oficiais do Exército Britânico residente na Índia. Originalmente como uma variação mais lupulada e alcoólica das English Pale Ales. Para ajudar a suportar a longa viagem da Inglaterra para a Índia a bebida era produzida com bastante lúpulo, o que, consequentemente, lhe conferia muito mais amargor, com aroma e sabor fortemente frutado. É uma cerveja que varia na intensidade de amargor e percentual alcoólico, de acordo com as variedades do estilo, como, por exemplo, as English IPA, American IPA e Imperial IPA. Certamente é um dos principais estilos de cerveja do mundo.;"Nesta segunda edição, usamos um mix de 4 variedades de lúpulos durante o processo de fabricação: Columbus, que contribui com um cítrico intenso; Chinook, um dos lúpulos mais apimentados do universo; e o australiano Galaxy, contribuindo com um toque de frutas tropicais. No dry hopping, novamente vem o Galaxy para trazer à tona a intensidade de frutas tropicais, mas desta vez acompanhado do cítrico e aromático e de uma carga extra de Amarillo para fechar com chave de lúpulo. Um monte de lúpulo.";ipa_holy_cow.jpeg
Cacau IPA;Bodebrown;India Pale Ale;6.1;74;11663;4.13;India Pale Ale ou simplesmente IPA. Uma cerveja do século XVIII, fabricada especialmente para os oficiais do Exército Britânico residente na Índia. Originalmente como uma variação mais lupulada e alcoólica das English Pale Ales. Para ajudar a suportar a longa viagem da Inglaterra para a Índia a bebida era produzida com bastante lúpulo, o que, consequentemente, lhe conferia muito mais amargor, com aroma e sabor fortemente frutado. É uma cerveja que varia na intensidade de amargor e percentual alcoólico, de acordo com as variedades do estilo, como, por exemplo, as English IPA, American IPA e Imperial IPA. Certamente é um dos principais estilos de cerveja do mundo.;Fruto de uma colaboração da cervejaria americana Stone Brewing, a Bodebrown Cacau IPA possui aromas de frutas cítricas, herdadas da adição de lúpulos cítricos norte-americanos com aromas que remetem a chocolate, proveniente da adição de cacau durante a fervura e maturação. No paladar é notado um balanço entre caramelo e maltado, além do médio amargor.;ipa_cacau_ipa.jpeg
Mutum Cavalo;Ignorus Cervejaria;India Pale Ale;7;70;3523;4.08;India Pale Ale ou simplesmente IPA. Uma cerveja do século XVIII, fabricada especialmente para os oficiais do Exército Britânico residente na Índia. Originalmente como uma variação mais lupulada e alcoólica das English Pale Ales. Para ajudar a suportar a longa viagem da Inglaterra para a Índia a bebida era produzida com bastante lúpulo, o que, consequentemente, lhe conferia muito mais amargor, com aroma e sabor fortemente frutado. É uma cerveja que varia na intensidade de amargor e percentual alcoólico, de acordo com as variedades do estilo, como, por exemplo, as English IPA, American IPA e Imperial IPA. Certamente é um dos principais estilos de cerveja do mundo.;Com uma base de maltes consistente e uma enorme carga de lúpulos norteamericanos, é a cerveja ideal para lupulomaníacos. Possui aromas intensos remetendo a frutas cítricas como abacaxi, limão e maracujá, tem final amargo, potente, longo e seco, como uma IPA de respeito deve ter.;ipa_mutum_cavalo.jpeg
Oceania;Cervejaria Everbrew;India Pale Ale;6.1;55;1325;4.06;India Pale Ale ou simplesmente IPA. Uma cerveja do século XVIII, fabricada especialmente para os oficiais do Exército Britânico residente na Índia. Originalmente como uma variação mais lupulada e alcoólica das English Pale Ales. Para ajudar a suportar a longa viagem da Inglaterra para a Índia a bebida era produzida com bastante lúpulo, o que, consequentemente, lhe conferia muito mais amargor, com aroma e sabor fortemente frutado. É uma cerveja que varia na intensidade de amargor e percentual alcoólico, de acordo com as variedades do estilo, como, por exemplo, as English IPA, American IPA e Imperial IPA. Certamente é um dos principais estilos de cerveja do mundo.;Oceania é uma American IPA feita com Vermont Ale e lupulos australianos Vic Secrets, Galaxy e Summer, que juntos dão um aroma cítrico/frutado bastante agradável devido processo de duplo dry hopping ;ipa_oceania.jpeg
Derealization;Hocus Pocus;India Pale Ale;7;0;1559;4.06;India Pale Ale ou simplesmente IPA. Uma cerveja do século XVIII, fabricada especialmente para os oficiais do Exército Britânico residente na Índia. Originalmente como uma variação mais lupulada e alcoólica das English Pale Ales. Para ajudar a suportar a longa viagem da Inglaterra para a Índia a bebida era produzida com bastante lúpulo, o que, consequentemente, lhe conferia muito mais amargor, com aroma e sabor fortemente frutado. É uma cerveja que varia na intensidade de amargor e percentual alcoólico, de acordo com as variedades do estilo, como, por exemplo, as English IPA, American IPA e Imperial IPA. Certamente é um dos principais estilos de cerveja do mundo.;"Uma West Coast IPA ""SMaSH"": single-malt (Maris Otter) e single hop (Mosaic). Leve, um pouquinho amarga, e com um aroma surreal de um dos nossos lúpulos preferidos, a Derealization tem um aroma forte e pungente de pinho, manga e outras frutas amarelas. ";ipa_derealization.jpeg
Session IPA;DASH Brewing Co.;Session IPA;4.5;55;297;3.88;A versão mais leve e menos alcoólica do estilo India Pale Ale é a Session IPA. Este estilo de cerveja artesanal é composto por um teor alcoólico baixo, sem perder as suas características lupuladas e o aroma. Além do mais, a cerveja Session IPA é feita para obter o máximo do aroma com o mínimo de amargor no processo, composta por corpo médio e reconhecida pela força dos lúpulos.;Cerveja de corpo médio/baixo, aroma BRABO dos lúpulos Citra/Mosaic/Galaxy, dando a clássica característica cítrica dos lúpulos americanos/australiano, final seco e com amargor na medida! Pra tomar de litro!;session_ipa_dash.jpeg
Trooper Brasil IPA;Bodebrown;Session IPA;5;21;4577;3.87;A versão mais leve e menos alcoólica do estilo India Pale Ale é a Session IPA. Este estilo de cerveja artesanal é composto por um teor alcoólico baixo, sem perder as suas características lupuladas e o aroma. Além do mais, a cerveja Session IPA é feita para obter o máximo do aroma com o mínimo de amargor no processo, composta por corpo médio e reconhecida pela força dos lúpulos.;Os nibs de cacau adicionados na Trooper são provenientes de Ilhéus, Bahia. Se misturam com o blend de lúpulos adicionados no dry hopping (Sorachi Ace, Amarillo e Sabro). A combinação dá um baixo amargor à cerveja, que apresenta ainda suave sabor de malte, 5% de teor alcoólico e notas sutis de cacau, chocolate branco e manga.;session_ipa_trooper.jpeg
Desfoque;Masmorra Cervejaria;Session IPA;4.5;40;240;3.85;A versão mais leve e menos alcoólica do estilo India Pale Ale é a Session IPA. Este estilo de cerveja artesanal é composto por um teor alcoólico baixo, sem perder as suas características lupuladas e o aroma. Além do mais, a cerveja Session IPA é feita para obter o máximo do aroma com o mínimo de amargor no processo, composta por corpo médio e reconhecida pela força dos lúpulos.;Nessa receita nos unimos a Ignoru's Cervejaria para produzir o que já é de costume, uma cerveja com uma carga exagerada de lúpulo. A Desfoque apresenta uma turbinez intensa, característica das New England IPAs, porém com uma leveza maior e teor alcoólico moderado. No aroma muita fruta tropical, devido a utilização do novo fermento JUICE ALE da Bio4. Além de muito aroma e sabor dos lúpulos Mosaic, Citra e El Dorado. Cerveja pra tomar litros.;ipa_desfoque.jpeg
Easy IPA;Cervejaria Imigração;Session IPA;4.6;30;6461;3.66;A versão mais leve e menos alcoólica do estilo India Pale Ale é a Session IPA. Este estilo de cerveja artesanal é composto por um teor alcoólico baixo, sem perder as suas características lupuladas e o aroma. Além do mais, a cerveja Session IPA é feita para obter o máximo do aroma com o mínimo de amargor no processo, composta por corpo médio e reconhecida pela força dos lúpulos.;Divertida, colorida e contagiante! Esta é a Easy IPA da Roleta Russa, uma cerveja com alta drinkabilite, amargor médio e baixo teor de álcool! Ela é a versão mais leve das cervejas extremas da Roleta Russa, feita para beber entre amigos e celebrar a vida! Saia da rotina, comece girando a tampa desta garrafa e busque novos sabores! Inicie a revolução cervejeira que esta adormecida dentro de você! Desafie-se, não tenha medo, lúpulo vicia mas não mata! Com aroma e sabor cítrico e frutado devido a adição de muitos lúpulos americanos e australianos, tem alta drinkability, amargor médio e baixo teor alcoólico.;ipa_easy_ipa.jpeg
Wals Session Citra;Cervejaria Wals;Session IPA;3.9;30;14563;3.64;A versão mais leve e menos alcoólica do estilo India Pale Ale é a Session IPA. Este estilo de cerveja artesanal é composto por um teor alcoólico baixo, sem perder as suas características lupuladas e o aroma. Além do mais, a cerveja Session IPA é feita para obter o máximo do aroma com o mínimo de amargor no processo, composta por corpo médio e reconhecida pela força dos lúpulos.;Session Beer é um estilo para se beber em grandes quantidades sem perder a qualidade. Esta cerveja tem massiva quantidade de lúpulo americano Citra e uma agradável base de malte. Amargor moderado e aroma explosivo. Receita de extrema refrescância.;ipa_session_citra.jpeg
Maine Berry Gelato;Cervejaria EverBrew;New England IPA;7.4;60;1273;4.22;As cervejas New England IPA são parte de um novo estilo, ou sub-estilo, que deriva das famosas IPAs americanas. Seu nome vem da região da Nova Inglaterra (New England), nos Estados Unidos, onde foi criada. A principal característica é a aparência turva e nublada. Muito comum em alguns estilos de cerveja, como, por exemplo, as Hefeweizen mas, até então, não desejável em uma Índia Pale Ale. Ao sentir o aroma cria-se a expectativa de um sabor bem amargo mas, no entanto, encontram-se um sabor frutado, cítrico e mais suave do que uma tradicional West Coast IPA. O objetivo não é atingir altos níveis de amargor (IBU), mas sim enaltecer o sabor. As cervejas não são filtradas e nem pasteurizadas. Além do nome New England IPA, essa cerveja é também conhecida como NE IPA, Juicy IPA, Vermont IPA, Northeast IPA e Hazy IPA.;A já conhecida Evermaine com adição de Terpenos que reproduzem as características da Strain Berry Gelato, que é uma cepa que traz aromas tropicais, baunilha e berries, complementando a potência do Citra;neipa_maine_gelato.jpeg
